record_id,doi,series,year,crossref_container,crossref_issn,series_is_J041,issn_is_glss,not_gerontological_issn,container_is_glss,year_in_glss_era,crossref_years,title
98602,10.1300/j041v16n01_02,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008","Namaji: Two-spirit organizing in montreal, Canada"
98603,10.1300/j041v15n01_05,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Methodological issues in conducting community-based health and social services research among urban black and african american LGBT populations
98604,10.1300/j041v16n03_13,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",A Gay and Lesbian Congregation Seeks Social Justice for Other Marginalized Communities
98605,10.1300/j041v14n04_04,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Meeting the needs of the gay and lesbian community: Outcomes in the human services
98606,10.1300/j041v14n04_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008","Substance abuse treatment with lesbian, gay and bisexual people"
98607,10.1300/j041v16n01_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",All the bridges that we build: Lesbophobia and sexism within the women’s and gay movements in Peru
98608,10.1300/j041v15n01_01,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,"Exploring current themes in research on gay, lesbian, bisexual and transgender populations"
98609,10.1300/j041v16n03_12,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",“AM/FM activism”: Taking national media tools to a local level
98610,10.1300/j041v16n02_02,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Coming out in mid-adulthood: Building a new identity
98611,10.1300/j041v14n04_05,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",“… we didn’t connect at all …”: The experiences of a gay client
98612,10.1300/j041v15n01_03,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Researching gay and lesbian domestic violence: The journey of a non-lgbt researcher
98613,10.1300/j041v16n01_05,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",A fair representation: GALZ and the history of the gay movement in Zimbabwe
98614,10.1300/j041v15n03_10,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Dance of the dedicated bottom
98617,10.1300/j041v16n01_03,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Yoesuf: An islamic idea with dutch quality
98618,10.1300/j041v16n03_14,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",From movement demands to legislation: Organizing in the lgbt community in mexico city
98620,10.1300/j041v14n04_06,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008","Sexuality, boundaries, professional ethics, and clinical practice: The kink community"
98622,10.1300/j041v15n01_11,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,Matching AIDS service organizations’ philosophy of service provision with a compatible style of program evaluation
98623,10.1300/j041v15n03_07,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2003,"A revelation; or, what happened in the back of the econovan"
98624,10.1300/j041v14n02_03,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Banking goodwill: Working towards children's happiness and safety at school through the strategies we've learnt as lesbian mothers–a personal reflection
98625,10.1300/j041v14n02_01,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Playing with fire: (Homo)sexuality and schooling in New Zealand
98626,10.1300/j041v14n02_02,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Whose problem is this?: Queerying the framing of lesbian and gay secondary school students within “at risk” discourses
98627,10.1300/j041v14n02_04,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Why queer theory is useful in teaching: A perspective from English as a second language teaching
98628,10.1300/j041v14n02_07,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Heterosexual attitudes to homosexuality: Homophobia at a rural Australian University
98629,10.1300/j041v14n02_08,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,Psychiatric disorder or straight prejudice?: The role of education in overcoming homophobia
98630,10.1300/j041v14n02_05,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,A reflection of resistance: Discourses of heterosexism and homophobia in teacher training classrooms
98631,10.1300/j041v14n02_06,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,2002,"Discrimination against gay men, lesbians, and transgender people working in education"
98632,10.1300/j041v13n04_05,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008","Being lesbian, gay, bisexual, and 60 or older in north america"
98633,10.1300/j041v13n04_01,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",A Call to action
98634,10.1300/j041v14n01_01,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",The decision to tell: Factors influencing the disclosure of sexual orientation by gay men
98635,10.1300/j041v13n04_08,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",Gods or monsters: A critique of representations in film and literature of relationships between older gay men and younger men
98636,10.1300/j041v13n04_07,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2001,2008",What Are Older Gay Men Like?: An Impossible Question?
98637,10.1300/j041v14n01_04,J041,2002,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2002,2008",Reclaiming space-regaining health: The health care experiences of two-spirit people in Canada
