paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title,refused
114605,10.18060/183,2006,moore,134702,Cynthia A. Moore,148248;155999,Cynthia A. Moore | Cynthia A. Moore,2;2;2,2,4,Effectively working with challenging clients who receive hunger service assistance: Case examples and eight recommended ,crossref_has_two_of_this_surname
114654,10.18060/27,2002,ellis,134823,Rodney A. Ellis,135773;148367;156118,Rodney A. Ellis | Rodney A. Ellis | Rodney A. Ellis,1;1;1;1,2,3,Evaluating Kinship Care Alternatives: A Comparison of a Private Initiative to Traditional State Services,crossref_has_two_of_this_surname
114654,10.18060/27,2002,ellis,134824,Gary D. Ellis,148368;156119,Gary D. Ellis | Gary D. Ellis,2;2;2,2,3,Evaluating Kinship Care Alternatives: A Comparison of a Private Initiative to Traditional State Services,crossref_has_two_of_this_surname
114816,10.18060/2953,2013,hawkins,135213,Wesley Hawkins,135378;148712;156463,Wesley Hawkins | Wesley Hawkins | Wesley Hawkins,2;2;2;2,2,4,Attitudes Toward Interprofessional Collaboration Among Students in the Health Care Professions,crossref_has_two_of_this_surname
114816,10.18060/2953,2013,hawkins,135214,Michele Hawkins,148713;156464,Michele Hawkins | Michele Hawkins,3;3;3,2,4,Attitudes Toward Interprofessional Collaboration Among Students in the Health Care Professions,crossref_has_two_of_this_surname
117163,10.1080/1936928x.2014.999851,2015,briggs,140768,Adam C. Briggs,140937,Adam C. Briggs,3;3,2,3,Behavioral Health and Sociocultural Determinants of Corrections Involvement Among Vulnerable African American Females: H,crossref_has_two_of_this_surname
118348,10.15453/0191-5096.2109,1994,gary,145718,"Gary, Robenia Baker",153469,"Gary, Robenia Baker",1;1,2,2,The History of Social Work Education for Black People 1900-1930,crossref_has_two_of_this_surname
118348,10.15453/0191-5096.2109,1994,gary,145372,"Gary, Lawrence E.",153123,"Gary, Lawrence E.",2;2,2,2,The History of Social Work Education for Black People 1900-1930,crossref_has_two_of_this_surname
118375,10.15453/0191-5096.2137,1994,wolfe,145734,"Wolfe, Donald M.",153485,"Wolfe, Donald M.",2;2,2,3,With a Little Help from Our Friends: Social Support as a Source of Well-being and of Coping with Stress,crossref_has_two_of_this_surname
118375,10.15453/0191-5096.2137,1994,wolfe,145735,"Wolfe, Christopher R.",153486,"Wolfe, Christopher R.",3;3,2,3,With a Little Help from Our Friends: Social Support as a Source of Well-being and of Coping with Stress,crossref_has_two_of_this_surname
118982,10.15453/0191-5096.2789,2002,hibbeler,146178,"Hibbeler, Ted",153929,"Hibbeler, Ted",3;3,2,7,"The Hoop of Learning: A Holistic, Multisystemic Model for Facilitating Educational Resilience among Indigenous Students",crossref_has_two_of_this_surname
118982,10.15453/0191-5096.2789,2002,hibbeler,146179,"Hibbeler, Patricia",153930,"Hibbeler, Patricia",4;4,2,7,"The Hoop of Learning: A Holistic, Multisystemic Model for Facilitating Educational Resilience among Indigenous Students",crossref_has_two_of_this_surname
119094,10.15453/0191-5096.2918,2003,culhane,146257,"Culhane, Jennifer F.",154008,"Culhane, Jennifer F.",1;1,2,5,Prevalence of Child Welfare Services Involvement among Homeless and Low-Income Mothers: A Five-year Birth Cohort Study,crossref_has_two_of_this_surname
119094,10.15453/0191-5096.2918,2003,culhane,146261,"Culhane, Dennis",154012,"Culhane, Dennis",5;5,2,5,Prevalence of Child Welfare Services Involvement among Homeless and Low-Income Mothers: A Five-year Birth Cohort Study,crossref_has_two_of_this_surname
119734,10.15453/0191-5096.3632,2011,zhang,146788,"Zhang, Xiulan",154539,"Zhang, Xiulan",2;2,2,4,Health Service Access for Rural People Living with HIV/AIDS in China: A Critical Evaluation,crossref_has_two_of_this_surname
119734,10.15453/0191-5096.3632,2011,zhang,146790,"Zhang, Yurong",154541,"Zhang, Yurong",4;4,2,4,Health Service Access for Rural People Living with HIV/AIDS in China: A Critical Evaluation,crossref_has_two_of_this_surname
119974,10.15453/0191-5096.3937,2015,de marco,147041,"De Marco, Allison",154792,"De Marco, Allison",1;1,2,6,Can People Experiencing Homelessness Acquire Financial Assets?,crossref_has_two_of_this_surname
119974,10.15453/0191-5096.3937,2015,de marco,147042,"De Marco, Molly",154793,"De Marco, Molly",2;2,2,6,Can People Experiencing Homelessness Acquire Financial Assets?,crossref_has_two_of_this_surname
120041,10.15453/0191-5096.4011,2016,kernsmith,147106,"Kernsmith, Poco",154857,"Kernsmith, Poco",1;1,2,3,Fear and Misinformation as Predictors of Support for Sex Offender Management Policies,crossref_has_two_of_this_surname
120041,10.15453/0191-5096.4011,2016,kernsmith,147108,"Kernsmith, Roger",154859,"Kernsmith, Roger",3;3,2,3,Fear and Misinformation as Predictors of Support for Sex Offender Management Policies,crossref_has_two_of_this_surname
120144,10.15453/0191-5096.4218,2018,murshid,147248,"Murshid, Nadine Shaanta",154999,"Murshid, Nadine Shaanta",1;1,2,2,Women’s Experiences with Microfinance in Urban Bangladesh: Results from a Qualitative Study,crossref_has_two_of_this_surname
120144,10.15453/0191-5096.4218,2018,murshid,147249,"Murshid, Navine",155000,"Murshid, Navine",2;2,2,2,Women’s Experiences with Microfinance in Urban Bangladesh: Results from a Qualitative Study,crossref_has_two_of_this_surname
100254,10.31265/jcsw.v14i1.234,2019,ingunn,105259,Ingunn T.,105258,Ingunn,2;4,0,3,"The child, the parents, the family and the state: Chile and Norway compared",key_is_a_crossref_given_name
100258,10.31265/jcsw.v14i1.236,2019,ingunn,105259,Ingunn T.,105258,Ingunn,4;6,0,4,Children and childhood in Chile: Social worker perspectives,key_is_a_crossref_given_name
100522,10.22329/csw.v6i2.5750,2019,john,105377,John R.,105375,John,2;4,0,2,Introduction to the Special Issue on Spirituality,key_is_a_crossref_given_name
100548,10.22329/csw.v7i1.5776,2019,john,105377,John R.,105375,John,4;2,0,2,Introduction to the Second Issue on Spirituality,key_is_a_crossref_given_name
100693,10.15270/40-3-333,2014,hm,150240,"HM, de Vos",157991;105095,"HM, de Vos | HM",2;2;3,0,3,THE ATTITUDES OF OLDER SOUTH AFRICANS TOWARDS EUTHANASIA,key_is_a_crossref_given_name
100693,10.15270/40-3-333,2014,mc,150241,"MC, le Roux",157992;105702,"MC, le Roux | MC",3;3;5,0,3,THE ATTITUDES OF OLDER SOUTH AFRICANS TOWARDS EUTHANASIA,key_is_a_crossref_given_name
