author_id,name_as_published,full_name,family,given_full,evidence_dois,n_papers_linked,n_papers_checked,n_papers_agreeing
78222,Karlsson P.,"Karlsson, Patrik",Karlsson,Patrik,10.1080/2156857x.2015.1134630|10.1080/2156857x.2018.1518816,2,2,2
78223,Minas R.,"Minas, Renate",Minas,Renate,10.1080/2156857x.2018.1518816,1,1,1
78224,Vingare E.L.,"Vingare, Emme-Li",Vingare,Emme-Li,10.1080/2156857x.2018.1542335,1,1,1
78225,Giertz L.,"Giertz, Lottie",Giertz,Lottie,10.1080/2156857x.2018.1542335,1,1,1
78226,Welander J.,"Welander, Jonas",Welander,Jonas,10.1080/2156857x.2016.1203814|10.1080/2156857x.2018.1489884|10.1080/2156857x.2018.1548372,3,3,3
78227,Isaksson K.,"Isaksson, Kerstin",Isaksson,Kerstin,10.1080/2156857x.2016.1203814|10.1080/2156857x.2018.1489884|10.1080/2156857x.2018.1548372,3,3,3
78228,Münger A.C.,"Münger, Ann-Charlotte",Münger,Ann-Charlotte,10.1080/2156857x.2017.1405837|10.1080/2156857x.2018.1526105,2,2,2
78229,Grell P.,"Grell, Pär",Grell,Pär,10.1080/2156857x.2016.1156017|10.1080/2156857x.2019.1596148,2,2,2
78230,Sjöström S.,"Sjöström, Stefan",Sjöström,Stefan,10.1080/2156857x.2019.1583599,1,1,1
78231,Lundström T.,"Lundström, Tommy",Lundström,Tommy,10.1080/02615470220136920|10.1080/2156857x.2018.1541016|10.1177/002087288903200404,3,3,3
78232,Sallnäs M.,"Sallnäs, Marie",Sallnäs,Marie,10.1080/2156857x.2018.1541016,1,1,1
78233,Greif G.L.,"Greif, Geoffrey L.",Greif,Geoffrey L.,10.1177/002087289103400404|10.1300/j137v08n02_02|10.18060/23935,5,3,3
78235,Sørensen K.M.,"Sørensen, Kresta M.",Sørensen,Kresta M.,10.1080/2156857x.2018.1518814,1,1,1
78236,Winman T.,"Winman, Thomas",Winman,Thomas,10.1080/2156857x.2018.1463284,1,1,1
78237,Aadnanes M.,"Aadnanes, Margrete",Aadnanes,Margrete,10.1080/2156857x.2018.1494032,1,1,1
78238,Jarnkvist K.,"Jarnkvist, Karin",Jarnkvist,Karin,10.1080/2156857x.2018.1475298,1,1,1
78239,Rypi A.,"Rypi, Anna",Rypi,Anna,10.1080/2156857x.2018.1491010,1,1,1
78240,Burcar V.,"Burcar, Veronika",Burcar,Veronika,10.1080/2156857x.2018.1491010,1,1,1
78241,Åkerström M.,"Åkerström, Malin",Åkerström,Malin,10.1080/2156857x.2018.1491010,1,1,1
78242,Eriksson L.,"Eriksson, Lisbeth",Eriksson,Lisbeth,10.1080/2156857x.2018.1489886,1,1,1
78243,Åberg M.,"Åberg, Martin",Åberg,Martin,10.1080/2156857x.2018.1489886,1,1,1
78244,Nouf-Latif F.,"Nouf-Latif, Faten",Nouf-Latif,Faten,10.1080/2156857x.2018.1484385,1,1,1
78245,Bertilsdotter-Rosqvist H.,"Bertilsdotter-Rosqvist, Hanna",Bertilsdotter-Rosqvist,Hanna,10.1080/2156857x.2018.1484385,1,1,1
