paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title
72855,10.31265/jcsw.v19i2.671,2024,leseth,149588,Anne Birgitte Leseth,157339;77699,Anne Birgitte Leseth | Leseth A.B.,1;1;1,1,2,Between governance and local knowledge: Social workers’ engagement with employment support for young people in the Faroe
72856,10.31265/jcsw.v19i2.664,2024,brathen,149481,Magne Bråthen,157232;77704,Magne Bråthen | Bråthen M.,4;4;4,1,4,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway
72856,10.31265/jcsw.v19i2.664,2024,dahl,149478,Espen Dahl,157229;77701,Espen Dahl | Dahl E.,1;1;1,1,4,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway
72856,10.31265/jcsw.v19i2.664,2024,hermansen,149480,Åsmund Hermansen,157231;77703,Åsmund Hermansen | Hermansen Å.,3;3;3,1,4,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway
72856,10.31265/jcsw.v19i2.664,2024,van der wel,149479,Kjetil A. van der Wel,157230;77702,Kjetil A. van der Wel | van der Wel K.A.,2;2;2,1,4,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway
72857,10.31265/jcsw.v19i2.696,2024,heidi moen gjers,149282,Heidi Moen Gjersøe,157033,Heidi Moen Gjersøe,2;2,0,3,Is it all about the money? - a study of specialized frontline work in the Norwegian social assistance service
72857,10.31265/jcsw.v19i2.696,2024,kleppe,149283,Lise Cecilie Kleppe,157034;77707,Lise Cecilie Kleppe | Kleppe L.C.,3;3;3,1,3,Is it all about the money? - a study of specialized frontline work in the Norwegian social assistance service
72857,10.31265/jcsw.v19i2.696,2024,nilsen,149281,Michaela Nilsen,157032;77705,Michaela Nilsen | Nilsen M.,1;1;1,1,3,Is it all about the money? - a study of specialized frontline work in the Norwegian social assistance service
72858,10.31265/jcsw.v19i2.832,2024,caswell,149387,Dorte Caswell,157138;77708,Dorte Caswell | Caswell D.,1;1;1,1,4,Work inclusion as part of social work
72858,10.31265/jcsw.v19i2.832,2024,heidi moen gjers,149282,Heidi Moen Gjersøe,157033,Heidi Moen Gjersøe,2;2,0,4,Work inclusion as part of social work
72858,10.31265/jcsw.v19i2.832,2024,hultqvist,149388,Sara Hultqvist,157139;77709,Sara Hultqvist | Hultqvist S.,3;3;3,1,4,Work inclusion as part of social work
72858,10.31265/jcsw.v19i2.832,2024,oltedal,149272,Siv Oltedal,157023;76686,Siv Oltedal | Oltedal S.,4;4;4,1,4,Work inclusion as part of social work
72860,10.31265/jcsw.v19i2.667,2024,kongsgaard,149529,Leif Tøfting Kongsgaard,157280;77710,Leif Tøfting Kongsgaard | Kongsgaard L.T.,1;1;1,1,1,‘I hope the doctor will send something black-or-white’. Reflective practice at the frontline in the Danish public employ
72861,10.31265/jcsw.v19i2.663,2024,lundberg,149534,Kjetil G. Lundberg,157285;77711,Kjetil G. Lundberg | Lundberg K.G.,1;1;1,1,4,Iterations of work inclusion beyond standard service: Personalised welfare services in the era of activation and innovat
72861,10.31265/jcsw.v19i2.663,2024,melve,149559,Arnhild Melve,157310;77713,Arnhild Melve | Melve A.,3;3;3,1,4,Iterations of work inclusion beyond standard service: Personalised welfare services in the era of activation and innovat
