author_id,name,reason
358,"BERGMARK, A",paper_has_no_doi
359,"OSCARSSON, L",paper_has_no_doi
360,"BHADURI, R",paper_has_no_doi
362,"BLACKSTONE, T",paper_has_no_doi
364,"DAGNAN, D",paper_has_no_doi
365,"DREWETT, R",paper_has_no_doi
369,"DHOND, MV",paper_has_no_doi
370,"FARMER, E",paper_has_no_doi
372,"FERNANDES, W",paper_has_no_doi
373,"GORE, MS",paper_has_no_doi
374,"GOULD, N",paper_has_no_doi
376,"MADHAVAN, T",paper_has_no_doi
378,"MOORHEAD, D",paper_has_no_doi
379,"NADKARNI, VV",paper_has_no_doi
380,"PATHY, J",paper_has_no_doi
381,"PAWAR, MS",paper_has_no_doi
383,"PRIOR, PM",paper_has_no_doi
384,"RAMAIAH, A",paper_has_no_doi
385,"RANI, V",paper_has_no_doi
386,"KHANDELWAL, P",paper_has_no_doi
390,"RUSTOMFRAM, N",paper_has_no_doi
392,"SANDHAM, J",paper_has_no_doi
393,"SARMA, PG",paper_has_no_doi
394,"SATYANARAYANA, G",paper_has_no_doi
395,"SEARS, M",paper_has_no_doi
398,"THANE, P",paper_has_no_doi
401,"VANWEL, F",orphaned_row_no_links
402,"VEEDON, R",paper_has_no_doi
407,"WHYTE, B",crossref_initials_only
408,"HUNTER, S","papers_disagree: Hunter, Shona | Hunter, Ski"
411,"ALPERIN, RM","papers_disagree: Alperin, Richard M. | Alperin, Richard Martin"
418,"BLOOM, J","papers_disagree: Bloom, Janet | Bloom, Judith"
423,"LUKTON, CR",initials_conflict
427,"YANOS, JH",paper_has_no_doi
429,"BROMBERGER, JT",paper_has_no_doi
433,"CLARK, CF",paper_has_no_doi
435,"DERI, R",paper_has_no_doi
437,"DEAN, RG","papers_disagree: Dean, Ruth G. | Dean, Ruth Grossman"
442,"FENBY, BL",paper_has_no_doi
452,"GAMBRILL, E",partial_agreement: Eileen | Eileen D.
454,"GOLDBERG, GS","papers_disagree: Goldberg, Gertrude S. | Goldberg, Gertrude Schaffner"
466,"MILLER, DC","papers_disagree: Miller, Diana C. | Miller, Dorothy C."
469,"BRAWLEY, EA","papers_disagree: Brawley, Edward A. | Brawley, Edward Allan"
470,"NETTING, FE","papers_disagree: Netting, F Ellen | Netting, F. Ellen"
473,"RAYMOND, GT","papers_disagree: Raymond, Ginny T. | Raymond, Ginny Terry"
479,"ROSEN, A","papers_disagree: Rosen, Aaron | Rosen, Anita"
484,"SELBER, K","papers_disagree: Selber, Katherine | Selber, Kathy"
495,"SILVERMAN, E",paper_has_no_doi
501,"WAKEFIELD, JC","papers_disagree: Wakefield, Jerome C. | Wakefield, Jerome Carl"
503,"BIEHAL, N",paper_has_no_doi
504,"CARPENTER, J",crossref_author_list_truncated
505,"FAWCETT, M",paper_has_no_doi
506,"HATFIELD, B",paper_has_no_doi
507,"HUXLEY, P",paper_has_no_doi
509,"HUMPHREY, C",orphaned_row_no_links
510,"CARTER, P",orphaned_row_no_links
511,"PEASE, K",paper_has_no_doi
512,"MAWHINEY, AM",paper_has_no_doi
513,"PAYNE, S",paper_has_no_doi
515,"ZELNER, D",paper_has_no_doi
518,"WATERHOUSE, L",paper_has_no_doi
519,"CARNIE, J",paper_has_no_doi
521,"HARRIS, M","papers_disagree: Harris, Margaret | Harris, Michael | Harris, Monica"
523,"ANISFELD, LS",paper_has_no_doi
527,"HODGES, M","papers_disagree: Hodges, Maria | Hodges, Michael"
528,"AUSLANDER, GK",sibling_same_surname_on_paper
532,"BARE, MR",paper_has_no_doi
542,"BEHROOZI, CS",paper_has_no_doi
543,"BERGMAN, L",paper_has_no_doi
544,"WALKER, S","papers_disagree: Walker, Samantha | Walker, Sonya | Walker, Steven"
547,"BERKOVITZ, IH",paper_has_no_doi
